date,kod,name,price,city,first_name
2021-10-07,59511,Курс 3,32467,Томск,Конюхов
2021-02-09,84116,Курс 5,30566,Санкт-Петербург,Петров
2021-07-10,69834,Курс 9,34841,Красноярск,Сидорова
2021-04-22,63071,Курс 8,25760,Красноярск,Рутов
2021-06-29,14033,Курс 4,32267,Кемерово,Сидорова
2022-01-23,04801,Курс 7,22018,Казань,Конюхов
2022-03-26,69834,Курс 9,34841,Москва,Сидорова
2021-03-21,63071,Курс 8,25760,Омск,Коченев
2021-01-10,04801,Курс 7,22018,Москва,Иванов
2021-05-09,54192,Курс 6,43969,Красноярск,Петров
2021-07-01,04801,Курс 7,22018,Красноярск,Рутов
2021-08-14,04801,Курс 7,22018,Санкт-Петербург,Иванов
2022-02-22,69834,Курс 9,34841,Кемерово,Петров
2021-10-07,19925,Курс 0,10237,Санкт-Петербург,Сидорова
2022-04-24,63071,Курс 8,25760,Новосибирск,Рутов
2022-06-17,63071,Курс 8,25760,Кемерово,Рутов
2022-02-09,59511,Курс 3,32467,Красноярск,Иванов
2021-06-21,84116,Курс 5,30566,Кемерово,Рутов
2022-03-09,63071,Курс 8,25760,Новосибирск,Петров
2022-06-25,04801,Курс 7,22018,Красноярск,Петров
2021-10-11,04801,Курс 7,22018,Омск,Конюхов
2021-02-07,04801,Курс 7,22018,Казань,Коченев
2022-06-04,02904,Курс 2,46402,Красноярск,Петров
2021-05-29,63071,Курс 8,25760,Омск,Сидорова
2021-12-08,54192,Курс 6,43969,Кемерово,Сидорова
2021-05-05,59629,Курс 1,41440,Казань,Коченев
2022-03-11,19925,Курс 0,10237,Красноярск,Сидорова
2022-01-19,54192,Курс 6,43969,Омск,Иванов
2021-07-11,04801,Курс 7,22018,Красноярск,Иванов
2021-02-04,19925,Курс 0,10237,Москва,Иванов
2022-05-08,14033,Курс 4,32267,Томск,Рутов
2022-03-12,14033,Курс 4,32267,Кемерово,Петров
2021-12-04,84116,Курс 5,30566,Красноярск,Конюхов
2022-06-09,59511,Курс 3,32467,Москва,Петров
2022-05-07,59511,Курс 3,32467,Санкт-Петербург,Конюхов
2021-02-01,02904,Курс 2,46402,Новосибирск,Коченев
2021-07-18,69834,Курс 9,34841,Омск,Коченев
2021-09-05,19925,Курс 0,10237,Новосибирск,Коченев
2021-12-22,63071,Курс 8,25760,Москва,Иванов
2021-08-30,69834,Курс 9,34841,Санкт-Петербург,Конюхов
2021-03-29,63071,Курс 8,25760,Омск,Петров
2021-09-05,69834,Курс 9,34841,Томск,Рутов
2022-04-06,59629,Курс 1,41440,Москва,Иванов
2021-03-25,04801,Курс 7,22018,Омск,Петров
2021-06-15,59629,Курс 1,41440,Москва,Петров
2021-03-07,54192,Курс 6,43969,Томск,Иванов
2021-10-12,14033,Курс 4,32267,Казань,Коченев
2022-02-03,02904,Курс 2,46402,Красноярск,Сидорова
2021-12-21,84116,Курс 5,30566,Томск,Коченев
2022-06-20,14033,Курс 4,32267,Санкт-Петербург,Коченев
2021-07-01,63071,Курс 8,25760,Кемерово,Сидорова
2021-10-01,63071,Курс 8,25760,Красноярск,Иванов
2021-03-01,02904,Курс 2,46402,Москва,Петров
2021-02-25,69834,Курс 9,34841,Омск,Сидорова
2021-01-16,63071,Курс 8,25760,Красноярск,Петров
2021-12-27,54192,Курс 6,43969,Москва,Петров
2021-01-25,63071,Курс 8,25760,Казань,Коченев
2021-09-15,19925,Курс 0,10237,Красноярск,Сидорова
2021-08-21,04801,Курс 7,22018,Санкт-Петербург,Коченев
2021-10-07,59629,Курс 1,41440,Томск,Рутов
2021-02-21,04801,Курс 7,22018,Новосибирск,Иванов
2021-05-07,63071,Курс 8,25760,Санкт-Петербург,Рутов
2021-03-09,59629,Курс 1,41440,Кемерово,Рутов
2022-03-08,19925,Курс 0,10237,Томск,Коченев
2022-05-19,84116,Курс 5,30566,Кемерово,Конюхов
2022-02-14,69834,Курс 9,34841,Казань,Рутов
2021-08-08,02904,Курс 2,46402,Новосибирск,Рутов
2021-01-24,14033,Курс 4,32267,Томск,Конюхов
2022-06-11,69834,Курс 9,34841,Москва,Сидорова
2021-03-11,19925,Курс 0,10237,Санкт-Петербург,Конюхов
2021-04-17,54192,Курс 6,43969,Москва,Иванов
2021-09-07,02904,Курс 2,46402,Новосибирск,Коченев
2021-10-15,04801,Курс 7,22018,Кемерово,Иванов
2021-06-24,14033,Курс 4,32267,Санкт-Петербург,Петров
2021-08-27,84116,Курс 5,30566,Санкт-Петербург,Петров
2022-04-15,69834,Курс 9,34841,Новосибирск,Конюхов
2022-06-02,69834,Курс 9,34841,Казань,Коченев
2022-01-21,84116,Курс 5,30566,Красноярск,Петров
2022-05-21,14033,Курс 4,32267,Казань,Коченев
2022-05-20,63071,Курс 8,25760,Томск,Конюхов
2022-02-04,63071,Курс 8,25760,Новосибирск,Петров
2022-05-20,63071,Курс 8,25760,Томск,Коченев
2021-05-03,02904,Курс 2,46402,Новосибирск,Рутов
2021-02-17,84116,Курс 5,30566,Томск,Петров
2021-11-28,84116,Курс 5,30566,Томск,Иванов
2021-04-03,69834,Курс 9,34841,Санкт-Петербург,Петров
2021-12-04,02904,Курс 2,46402,Санкт-Петербург,Рутов
2022-05-05,63071,Курс 8,25760,Красноярск,Сидорова
2021-01-24,69834,Курс 9,34841,Новосибирск,Сидорова
2021-06-30,19925,Курс 0,10237,Кемерово,Конюхов
2021-10-13,54192,Курс 6,43969,Кемерово,Сидорова
2022-03-12,59629,Курс 1,41440,Казань,Рутов
2022-06-08,54192,Курс 6,43969,Томск,Коченев
2021-10-19,59629,Курс 1,41440,Казань,Сидорова
2021-07-06,59511,Курс 3,32467,Томск,Петров
2021-12-02,02904,Курс 2,46402,Кемерово,Коченев
2022-01-02,02904,Курс 2,46402,Казань,Петров
2021-10-19,63071,Курс 8,25760,Казань,Иванов
2021-04-08,59629,Курс 1,41440,Казань,Сидорова
2021-06-04,14033,Курс 4,32267,Кемерово,Сидорова
2021-08-27,14033,Курс 4,32267,Москва,Конюхов
2021-08-23,69834,Курс 9,34841,Новосибирск,Сидорова
2021-06-08,59629,Курс 1,41440,Томск,Петров
2021-04-05,14033,Курс 4,32267,Кемерово,Конюхов
2021-01-23,19925,Курс 0,10237,Новосибирск,Петров
2022-04-20,69834,Курс 9,34841,Санкт-Петербург,Коченев
2021-05-26,59511,Курс 3,32467,Кемерово,Коченев
2021-03-12,63071,Курс 8,25760,Москва,Сидорова
2021-04-11,59629,Курс 1,41440,Новосибирск,Коченев
2022-05-27,04801,Курс 7,22018,Новосибирск,Рутов
2021-08-19,19925,Курс 0,10237,Москва,Петров
2021-10-02,19925,Курс 0,10237,Томск,Иванов
2021-09-01,54192,Курс 6,43969,Казань,Конюхов
2022-05-13,19925,Курс 0,10237,Новосибирск,Рутов
2022-03-02,63071,Курс 8,25760,Кемерово,Конюхов
2021-03-10,14033,Курс 4,32267,Томск,Коченев
2021-04-01,54192,Курс 6,43969,Москва,Сидорова
2021-09-06,69834,Курс 9,34841,Новосибирск,Иванов
2021-08-19,69834,Курс 9,34841,Новосибирск,Конюхов
2021-12-17,59629,Курс 1,41440,Казань,Конюхов
2021-06-18,63071,Курс 8,25760,Кемерово,Конюхов
2022-05-24,02904,Курс 2,46402,Казань,Рутов
2022-04-08,63071,Курс 8,25760,Томск,Коченев
2021-07-28,59511,Курс 3,32467,Казань,Сидорова
2022-03-03,04801,Курс 7,22018,Санкт-Петербург,Рутов
2021-11-30,59511,Курс 3,32467,Кемерово,Рутов
2022-06-12,02904,Курс 2,46402,Москва,Коченев
2022-03-06,04801,Курс 7,22018,Новосибирск,Рутов
2021-09-28,63071,Курс 8,25760,Красноярск,Иванов
2021-03-15,69834,Курс 9,34841,Казань,Конюхов
2022-01-17,63071,Курс 8,25760,Красноярск,Петров
2022-01-21,14033,Курс 4,32267,Казань,Сидорова
2022-03-02,02904,Курс 2,46402,Омск,Иванов
2021-01-02,63071,Курс 8,25760,Москва,Иванов
2021-05-23,04801,Курс 7,22018,Казань,Сидорова
2022-03-08,59511,Курс 3,32467,Омск,Рутов
2021-10-01,14033,Курс 4,32267,Москва,Коченев
2021-10-16,84116,Курс 5,30566,Москва,Конюхов
2021-03-02,63071,Курс 8,25760,Кемерово,Конюхов
2021-07-26,69834,Курс 9,34841,Томск,Петров
2021-12-25,59511,Курс 3,32467,Москва,Сидорова
2021-11-16,14033,Курс 4,32267,Москва,Коченев
2021-09-16,59629,Курс 1,41440,Казань,Конюхов
2021-07-18,04801,Курс 7,22018,Казань,Рутов
2021-10-19,19925,Курс 0,10237,Санкт-Петербург,Конюхов
2021-06-28,59629,Курс 1,41440,Красноярск,Иванов
2021-05-05,14033,Курс 4,32267,Москва,Коченев
2021-06-15,59629,Курс 1,41440,Кемерово,Петров
2022-05-13,69834,Курс 9,34841,Новосибирск,Иванов
2021-06-07,59511,Курс 3,32467,Омск,Сидорова
2022-02-19,59629,Курс 1,41440,Красноярск,Сидорова
2021-06-02,14033,Курс 4,32267,Казань,Рутов
2021-04-05,19925,Курс 0,10237,Томск,Иванов
2022-05-24,63071,Курс 8,25760,Санкт-Петербург,Петров
2021-11-14,69834,Курс 9,34841,Томск,Коченев
2021-04-06,14033,Курс 4,32267,Санкт-Петербург,Коченев
2022-03-11,69834,Курс 9,34841,Томск,Коченев
2021-05-18,84116,Курс 5,30566,Кемерово,Коченев
2021-07-01,02904,Курс 2,46402,Красноярск,Сидорова
2021-07-13,19925,Курс 0,10237,Санкт-Петербург,Конюхов
2022-06-11,63071,Курс 8,25760,Казань,Конюхов
2021-05-07,14033,Курс 4,32267,Кемерово,Сидорова
2021-11-23,02904,Курс 2,46402,Санкт-Петербург,Сидорова
2022-01-12,54192,Курс 6,43969,Омск,Иванов
2022-05-13,02904,Курс 2,46402,Кемерово,Рутов
2021-05-15,63071,Курс 8,25760,Омск,Петров
2021-11-07,02904,Курс 2,46402,Омск,Сидорова
2022-05-15,04801,Курс 7,22018,Томск,Конюхов
2021-07-11,84116,Курс 5,30566,Казань,Рутов
2021-09-19,69834,Курс 9,34841,Томск,Иванов
2021-08-13,54192,Курс 6,43969,Новосибирск,Коченев
2021-10-24,04801,Курс 7,22018,Казань,Петров
2022-05-04,02904,Курс 2,46402,Омск,Рутов
2022-01-01,14033,Курс 4,32267,Омск,Коченев
2022-02-08,69834,Курс 9,34841,Омск,Коченев
2022-05-13,19925,Курс 0,10237,Казань,Иванов
2021-08-04,54192,Курс 6,43969,Красноярск,Конюхов
2021-11-26,19925,Курс 0,10237,Новосибирск,Сидорова
2022-02-24,19925,Курс 0,10237,Санкт-Петербург,Конюхов
2022-06-14,04801,Курс 7,22018,Омск,Петров
2021-11-10,69834,Курс 9,34841,Москва,Петров
2022-05-27,54192,Курс 6,43969,Казань,Коченев
2021-02-24,84116,Курс 5,30566,Санкт-Петербург,Петров
2021-09-13,54192,Курс 6,43969,Санкт-Петербург,Иванов
2022-03-14,59629,Курс 1,41440,Томск,Рутов
2022-02-04,59511,Курс 3,32467,Красноярск,Конюхов
2021-07-03,54192,Курс 6,43969,Москва,Иванов
2022-05-04,59629,Курс 1,41440,Томск,Конюхов
2021-09-04,04801,Курс 7,22018,Москва,Рутов
2022-04-10,63071,Курс 8,25760,Москва,Иванов
2021-10-27,19925,Курс 0,10237,Кемерово,Коченев
2021-12-17,63071,Курс 8,25760,Томск,Сидорова
2022-05-13,59629,Курс 1,41440,Кемерово,Иванов
2022-03-08,84116,Курс 5,30566,Красноярск,Петров
2021-05-11,59511,Курс 3,32467,Новосибирск,Иванов
2021-11-22,02904,Курс 2,46402,Омск,Сидорова
2022-01-18,59629,Курс 1,41440,Томск,Конюхов
2021-07-10,54192,Курс 6,43969,Новосибирск,Иванов
2021-08-04,19925,Курс 0,10237,Новосибирск,Сидорова
2022-04-24,63071,Курс 8,25760,Томск,Иванов
2022-06-17,14033,Курс 4,32267,Томск,Рутов
2022-05-16,59511,Курс 3,32467,Санкт-Петербург,Рутов
2021-12-28,84116,Курс 5,30566,Санкт-Петербург,Петров
2021-02-22,14033,Курс 4,32267,Кемерово,Рутов
2022-02-06,14033,Курс 4,32267,Томск,Конюхов
2021-01-20,59629,Курс 1,41440,Санкт-Петербург,Коченев
2021-11-12,63071,Курс 8,25760,Казань,Конюхов
2021-07-03,54192,Курс 6,43969,Томск,Конюхов
2021-02-05,02904,Курс 2,46402,Кемерово,Сидорова
2022-01-14,59511,Курс 3,32467,Красноярск,Иванов
2022-02-11,59629,Курс 1,41440,Москва,Петров
2022-03-31,59629,Курс 1,41440,Новосибирск,Рутов
2022-06-18,59511,Курс 3,32467,Томск,Рутов
2021-01-24,59629,Курс 1,41440,Новосибирск,Рутов
2021-01-25,59511,Курс 3,32467,Омск,Коченев
2021-05-09,04801,Курс 7,22018,Красноярск,Сидорова
2021-07-14,04801,Курс 7,22018,Казань,Конюхов
2021-11-20,69834,Курс 9,34841,Санкт-Петербург,Рутов
2022-02-07,02904,Курс 2,46402,Москва,Иванов
2021-03-12,69834,Курс 9,34841,Томск,Коченев
2022-01-07,63071,Курс 8,25760,Красноярск,Рутов
2021-09-20,54192,Курс 6,43969,Казань,Петров
2022-04-28,04801,Курс 7,22018,Красноярск,Рутов
2022-02-20,14033,Курс 4,32267,Санкт-Петербург,Рутов
2021-03-17,54192,Курс 6,43969,Санкт-Петербург,Коченев
2021-09-04,59629,Курс 1,41440,Новосибирск,Петров
2021-04-10,04801,Курс 7,22018,Новосибирск,Сидорова
2022-02-10,02904,Курс 2,46402,Томск,Сидорова
2022-03-07,54192,Курс 6,43969,Томск,Рутов
2021-12-24,19925,Курс 0,10237,Красноярск,Сидорова
2021-02-06,59511,Курс 3,32467,Кемерово,Иванов
2022-02-18,02904,Курс 2,46402,Красноярск,Коченев
2021-10-08,59629,Курс 1,41440,Новосибирск,Иванов
2021-01-24,59511,Курс 3,32467,Санкт-Петербург,Петров
2021-02-22,19925,Курс 0,10237,Москва,Конюхов
2021-01-01,69834,Курс 9,34841,Томск,Петров
2021-10-03,54192,Курс 6,43969,Кемерово,Петров
2021-10-11,59629,Курс 1,41440,Санкт-Петербург,Иванов
2022-06-14,54192,Курс 6,43969,Томск,Иванов
2022-04-30,84116,Курс 5,30566,Казань,Сидорова
2022-01-16,04801,Курс 7,22018,Красноярск,Иванов
2021-05-22,02904,Курс 2,46402,Москва,Коченев
2021-03-25,59629,Курс 1,41440,Омск,Сидорова
2021-09-09,63071,Курс 8,25760,Томск,Иванов
2022-01-20,14033,Курс 4,32267,Санкт-Петербург,Петров
2022-05-22,04801,Курс 7,22018,Санкт-Петербург,Рутов
2021-07-09,59511,Курс 3,32467,Омск,Конюхов
2022-04-04,54192,Курс 6,43969,Санкт-Петербург,Коченев
2021-09-22,63071,Курс 8,25760,Томск,Иванов
2021-10-07,84116,Курс 5,30566,Омск,Коченев
2021-02-21,63071,Курс 8,25760,Кемерово,Рутов
2021-02-14,14033,Курс 4,32267,Кемерово,Коченев
2021-07-22,59511,Курс 3,32467,Красноярск,Коченев
2021-11-10,63071,Курс 8,25760,Санкт-Петербург,Коченев
2021-05-05,04801,Курс 7,22018,Казань,Коченев
2021-08-23,59629,Курс 1,41440,Санкт-Петербург,Петров
2022-05-21,69834,Курс 9,34841,Томск,Иванов
2021-01-26,02904,Курс 2,46402,Санкт-Петербург,Петров
2022-05-30,84116,Курс 5,30566,Красноярск,Конюхов
2021-02-02,59511,Курс 3,32467,Омск,Коченев
2022-03-11,04801,Курс 7,22018,Казань,Иванов
2021-12-17,69834,Курс 9,34841,Красноярск,Конюхов
2021-07-27,59511,Курс 3,32467,Москва,Сидорова
2021-01-14,04801,Курс 7,22018,Санкт-Петербург,Рутов
2021-07-09,14033,Курс 4,32267,Москва,Иванов
2021-02-17,02904,Курс 2,46402,Казань,Конюхов
2021-06-16,59629,Курс 1,41440,Москва,Петров
2021-05-13,69834,Курс 9,34841,Кемерово,Иванов
2021-02-06,54192,Курс 6,43969,Красноярск,Коченев
2022-05-27,02904,Курс 2,46402,Санкт-Петербург,Петров
2021-01-01,63071,Курс 8,25760,Омск,Конюхов
2022-01-17,02904,Курс 2,46402,Томск,Петров
2022-01-20,19925,Курс 0,10237,Омск,Иванов
2021-05-04,59629,Курс 1,41440,Новосибирск,Конюхов
2022-02-01,02904,Курс 2,46402,Казань,Конюхов
2021-11-13,19925,Курс 0,10237,Кемерово,Коченев
2022-01-19,63071,Курс 8,25760,Кемерово,Сидорова
2021-04-17,59511,Курс 3,32467,Кемерово,Конюхов
2022-01-15,04801,Курс 7,22018,Красноярск,Сидорова
2021-01-16,04801,Курс 7,22018,Красноярск,Коченев
2022-04-29,69834,Курс 9,34841,Кемерово,Конюхов
2021-03-24,54192,Курс 6,43969,Омск,Коченев
2022-02-21,69834,Курс 9,34841,Санкт-Петербург,Сидорова
2021-03-09,02904,Курс 2,46402,Новосибирск,Конюхов
2021-11-22,59629,Курс 1,41440,Москва,Петров
2022-03-07,14033,Курс 4,32267,Москва,Коченев
2022-04-01,02904,Курс 2,46402,Новосибирск,Сидорова
2021-08-16,59511,Курс 3,32467,Новосибирск,Конюхов
2022-06-08,84116,Курс 5,30566,Красноярск,Иванов
2022-02-12,54192,Курс 6,43969,Красноярск,Петров
2022-05-15,69834,Курс 9,34841,Томск,Иванов
2021-08-09,04801,Курс 7,22018,Казань,Рутов
2022-01-17,14033,Курс 4,32267,Томск,Петров
2022-06-04,14033,Курс 4,32267,Томск,Коченев
2021-12-08,63071,Курс 8,25760,Новосибирск,Коченев
2021-05-30,19925,Курс 0,10237,Омск,Конюхов
2021-04-08,02904,Курс 2,46402,Красноярск,Сидорова
2021-09-13,14033,Курс 4,32267,Кемерово,Сидорова
2021-09-05,02904,Курс 2,46402,Новосибирск,Сидорова
2022-04-13,59629,Курс 1,41440,Москва,Рутов
2021-09-25,54192,Курс 6,43969,Томск,Конюхов
2021-02-19,63071,Курс 8,25760,Омск,Коченев
2021-10-22,84116,Курс 5,30566,Томск,Иванов
2021-09-15,84116,Курс 5,30566,Новосибирск,Сидорова
2021-03-20,59629,Курс 1,41440,Новосибирск,Рутов
2022-02-14,69834,Курс 9,34841,Санкт-Петербург,Рутов
2021-07-19,14033,Курс 4,32267,Новосибирск,Иванов
2021-07-17,14033,Курс 4,32267,Казань,Рутов
2022-02-03,63071,Курс 8,25760,Казань,Конюхов
2021-06-09,69834,Курс 9,34841,Кемерово,Конюхов
2021-01-10,84116,Курс 5,30566,Казань,Петров
2021-03-04,14033,Курс 4,32267,Казань,Рутов
2022-01-10,54192,Курс 6,43969,Кемерово,Рутов
2021-04-07,69834,Курс 9,34841,Кемерово,Сидорова
2022-02-11,63071,Курс 8,25760,Москва,Петров
2021-06-17,14033,Курс 4,32267,Москва,Коченев
2021-07-21,59511,Курс 3,32467,Красноярск,Сидорова
2021-08-22,59629,Курс 1,41440,Москва,Конюхов
2021-12-21,14033,Курс 4,32267,Омск,Конюхов
2021-03-24,14033,Курс 4,32267,Красноярск,Петров
2021-10-02,04801,Курс 7,22018,Кемерово,Иванов
2021-08-14,02904,Курс 2,46402,Кемерово,Рутов
2022-05-13,54192,Курс 6,43969,Москва,Коченев
2022-06-06,59629,Курс 1,41440,Москва,Сидорова
2021-04-10,59511,Курс 3,32467,Кемерово,Рутов
2021-08-06,69834,Курс 9,34841,Казань,Петров
2021-11-24,84116,Курс 5,30566,Санкт-Петербург,Сидорова
2022-02-03,63071,Курс 8,25760,Красноярск,Рутов
2022-01-12,59511,Курс 3,32467,Москва,Коченев
2022-01-02,69834,Курс 9,34841,Москва,Иванов
2021-07-22,63071,Курс 8,25760,Томск,Рутов
2022-02-06,59511,Курс 3,32467,Казань,Рутов
2021-03-24,84116,Курс 5,30566,Омск,Иванов
2021-07-25,84116,Курс 5,30566,Омск,Конюхов
2021-02-22,19925,Курс 0,10237,Санкт-Петербург,Петров
2021-11-14,59629,Курс 1,41440,Санкт-Петербург,Иванов
2021-01-03,54192,Курс 6,43969,Кемерово,Петров
2021-05-05,54192,Курс 6,43969,Казань,Рутов
2022-02-02,84116,Курс 5,30566,Кемерово,Конюхов
2022-05-22,19925,Курс 0,10237,Казань,Рутов
2022-05-11,54192,Курс 6,43969,Москва,Рутов
2022-04-17,59511,Курс 3,32467,Красноярск,Рутов
2022-02-20,69834,Курс 9,34841,Красноярск,Петров
2021-05-16,69834,Курс 9,34841,Омск,Сидорова
2021-09-23,63071,Курс 8,25760,Москва,Иванов
2021-06-15,59629,Курс 1,41440,Томск,Конюхов
2022-01-11,69834,Курс 9,34841,Казань,Рутов
